1	1 
2	2 
3	1 
4	3 
5	1 
6	4 
7	4 
8	1 
9	4 
10	4 
11	2 
12	3 
13	2 
14	4 
15	4 
16	4 
17	3 
18	4 
19	3 
20	3 
21	1 
22	1 
23	2 
24	4 
25	2 
26	1 
27	3 
28	2 
29	1 
30	3 
31	2 
32	1 
33	1 
34	2 
35	4 
36	3 
37	3 
38	2 
39	1 
40	2 
41	1 
42	2 
43	1 
44	4 
45	2 
46	3 
47	4 
48	2 
49	1 
50	2 
51	1 
52	2 
53	3 
54	1 
55	3 
56	3 
57	3 
58	2 
59	1 
60	4 
61	4 
62	2 
63	4 
64	2 
65	3 
66	1 
67	3 
68	2 
69	3 
70	4 
71	1 
72	3 
73	4 
74	1 
75	2 
76	3 
77	3 
78	1 
79	1 
80	1 
81	2 
82	4 
83	4 
84	3 
85	2 
86	3 
87	1 
88	1 
89	4 
90	1 
91	4 
92	4 
93	4 
94	3 
95	4 
96	4 
97	1 
98	3 
99	1 
100	2 
101	3 
102	3 
103	2 
104	2 
105	3 
106	3 
107	4 
108	3 
109	2 
110	1 
111	3 
112	4 
113	4 
114	2 
115	2 
116	2 
117	2 
118	1 
119	4 
120	2 
121	4 
122	4 
123	3 
124	1 
125	3 
126	1 
127	4 
128	2 
