1	2 
2	3 
3	1 
4	2 
5	2 
6	2 
7	1 
8	4 
9	4 
10	4 
11	2 
12	1 
13	4 
14	4 
15	4 
16	2 
17	3 
18	1 
19	3 
20	1 
21	3 
22	4 
23	4 
24	1 
25	2 
26	1 
27	3 
28	1 
29	2 
30	3 
31	1 
32	3 
33	4 
34	4 
35	2 
36	4 
37	2 
38	4 
39	2 
40	4 
41	3 
42	4 
43	4 
44	2 
45	3 
46	2 
47	3 
48	4 
49	2 
50	4 
51	1 
52	2 
53	2 
54	4 
55	1 
56	1 
57	2 
58	3 
59	1 
60	1 
61	1 
62	3 
63	4 
64	2 
65	1 
66	4 
67	2 
68	4 
69	1 
70	3 
71	4 
72	1 
73	3 
74	3 
75	3 
76	3 
77	2 
78	3 
79	3 
80	2 
81	2 
82	4 
83	1 
84	3 
85	3 
86	1 
87	1 
88	1 
89	4 
90	4 
91	4 
92	2 
93	1 
94	1 
95	4 
96	3 
97	2 
98	1 
99	1 
100	1 
101	3 
102	3 
103	1 
104	3 
105	2 
106	1 
107	3 
108	3 
109	3 
110	2 
111	1 
112	4 
113	3 
114	3 
115	4 
116	4 
117	1 
118	1 
119	2 
120	4 
121	4 
122	2 
123	2 
124	2 
125	2 
126	2 
127	3 
128	3 
